"home_team","away_team","date","home_spread","home_win_prob"
"Arkansas Razorbacks","Vermont Catamounts",2022-03-17,-4.5,0.6486
"Baylor Bears","Norfolk St Spartans",2022-03-17,-20.5,0.9477
"Boise State Broncos","Memphis Tigers",2022-03-17,3,0.4012
"Colorado St Rams","Michigan Wolverines",2022-03-17,2,0.4358
"Gonzaga Bulldogs","Georgia St Panthers",2022-03-17,-22.5,0.9495
"Iowa Hawkeyes","Richmond Spiders",2022-03-17,-10,0.8091
"Kansas Jayhawks","Texas Southern Tigers",2022-03-17,-21.5,0.9495
"Kentucky Wildcats","Saint Peter's Peacocks",2022-03-17,-17.5,0.9185
"Murray St Racers","San Francisco Dons",2022-03-17,-2,0.5504
"North Carolina Tar Heels","Marquette Golden Eagles",2022-03-17,-3.5,0.6178
"Providence Friars","South Dakota St Jackrabbits",2022-03-17,-3,0.5965
"Saint Mary's Gaels","Indiana Hoosiers",2022-03-17,-2.5,0.5514
"San Diego St Aztecs","Creighton Bluejays",2022-03-17,-2.5,0.5711
"Tennessee Volunteers","Longwood Lancers",2022-03-17,-18,0.9363
"UCLA Bruins","Akron Zips",2022-03-17,-13.5,0.8963
"UConn Huskies","New Mexico St Aggies",2022-03-17,-6,0.7113
"Alabama Crimson Tide","Notre Dame Fighting Irish",2022-03-18,-4,0.6297
"Arizona Wildcats","Wright St Raiders",2022-03-18,-21.5,0.9495
"Auburn Tigers","Jacksonville St Gamecocks",2022-03-18,-14.5,0.9063
"Duke Blue Devils","CSU Fullerton Titans",2022-03-18,-18.5,0.9395
"Houston Cougars","UAB Blazers",2022-03-18,-8.5,0.7762
"Illinois Fighting Illini","Chattanooga Mocs",2022-03-18,-8,0.759
"LSU Tigers","Iowa State Cyclones",2022-03-18,-4,0.6252
"Michigan St Spartans","Davidson Wildcats",2022-03-18,-1,0.5217
"Ohio State Buckeyes","Loyola (Chi) Ramblers",2022-03-18,0,0.5
"Purdue Boilermakers","Yale Bulldogs",2022-03-18,-16.5,0.8901
"Seton Hall Pirates","TCU Horned Frogs",2022-03-18,0,0.5098
"Texas Longhorns","Virginia Tech Hokies",2022-03-18,-1.5,0.5282
"Texas Tech Red Raiders","Montana St Bobcats",2022-03-18,-15,0.9042
"USC Trojans","Miami Hurricanes",2022-03-18,-2,0.5467
"Villanova Wildcats","Delaware Blue Hens",2022-03-18,-15,0.9033
"Wisconsin Badgers","Colgate Raiders",2022-03-18,-7.5,0.7425
"Arkansas Razorbacks","New Mexico St Aggies",2022-03-19,-6.5,0.7158
"Baylor Bears","North Carolina Tar Heels",2022-03-19,-5.5,0.665
"Gonzaga Bulldogs","Memphis Tigers",2022-03-19,-9.5,0.8207
"Kansas Jayhawks","Creighton Bluejays",2022-03-19,-11.5,0.8519
"Murray St Racers","Saint Peter's Peacocks",2022-03-19,-8.5,0.7714
"Providence Friars","Richmond Spiders",2022-03-19,-4,0.6225
"Tennessee Volunteers","Michigan Wolverines",2022-03-19,-6.5,0.7158
"UCLA Bruins","Saint Mary's Gaels",2022-03-19,-3,0.5868
"Arizona Wildcats","TCU Horned Frogs",2022-03-20,-10,0.8091
"Auburn Tigers","Miami Hurricanes",2022-03-20,-7,0.7346
"Duke Blue Devils","Michigan St Spartans",2022-03-20,-6.5,0.7188
"Illinois Fighting Illini","Houston Cougars",2022-03-20,4,0.3813
"Purdue Boilermakers","Texas Longhorns",2022-03-20,-3,0.5876
"Texas Tech Red Raiders","Notre Dame Fighting Irish",2022-03-20,-8,0.7612
"Villanova Wildcats","Ohio State Buckeyes",2022-03-20,-5,0.6787
"Wisconsin Badgers","Iowa State Cyclones",2022-03-20,-4.5,0.6341
"Arizona Wildcats","Houston Cougars",2022-03-24,-1.5,0.5217
"Duke Blue Devils","Texas Tech Red Raiders",2022-03-24,0,0.5
"Gonzaga Bulldogs","Arkansas Razorbacks",2022-03-24,-9.5,0.8049
"Villanova Wildcats","Michigan Wolverines",2022-03-24,-5,0.6699
"Kansas Jayhawks","Providence Friars",2022-03-25,-7,0.7386
"Miami Hurricanes","Iowa State Cyclones",2022-03-25,-3,0.5906
"Purdue Boilermakers","Saint Peter's Peacocks",2022-03-25,-13,0.8736
"UCLA Bruins","North Carolina Tar Heels",2022-03-25,-2,0.5576
"Duke Blue Devils","Arkansas Razorbacks",2022-03-26,-4,0.6174
"Villanova Wildcats","Houston Cougars",2022-03-26,2.5,0.4168
"Kansas Jayhawks","Miami Hurricanes",2022-03-27,-6,0.7018
"North Carolina Tar Heels","Saint Peter's Peacocks",2022-03-27,-8.5,0.7727
"Duke Blue Devils","North Carolina Tar Heels",2022-04-02,-4,0.6386
"Kansas Jayhawks","Villanova Wildcats",2022-04-02,-4,0.6486
"Kansas Jayhawks","North Carolina Tar Heels",2022-04-04,-4,0.6413
