"home_team","away_team","date","home_spread","home_win_prob"
"Texas Southern Tigers","Fairleigh Dickinson Knights",2023-03-15,-2.5,0.5711
"Alabama Crimson Tide","Texas A&M-CC Islanders",2023-03-16,-24.5,0.9482
"Arizona Wildcats","Princeton Tigers",2023-03-16,-14.5,0.8927
"Arkansas Razorbacks","Illinois Fighting Illini",2023-03-16,-2,0.5526
"Duke Blue Devils","Oral Roberts Golden Eagles",2023-03-16,-6,0.7158
"Houston Cougars","Northern Kentucky Norse",2023-03-16,-18.5,0.9291
"Iowa Hawkeyes","Auburn Tigers",2023-03-16,1.5,0.4687
"Kansas Jayhawks","Howard Bison",2023-03-16,-21.5,0.9439
"Maryland Terrapins","West Virginia Mountaineers",2023-03-16,2.5,0.4122
"Missouri Tigers","Utah State Aggies",2023-03-16,1.5,0.4687
"Northwestern Wildcats","Boise State Broncos",2023-03-16,-1.5,0.5444
"Tennessee Volunteers","Louisiana Ragin' Cajuns",2023-03-16,-10.5,0.8351
"Texas A&M Aggies","Penn State Nittany Lions",2023-03-16,-2.5,0.5801
"Texas Longhorns","Colgate Raiders",2023-03-16,-13.5,0.8801
"UCLA Bruins","UNC Asheville Bulldogs",2023-03-16,-17.5,0.9291
"Virginia Cavaliers","Furman Paladins",2023-03-16,-6,0.7082
"Baylor Bears","UC Santa Barbara Gauchos",2023-03-17,-10.5,0.8284
"Creighton Bluejays","NC State Wolfpack",2023-03-17,-5,0.6666
"Gonzaga Bulldogs","Grand Canyon Antelopes",2023-03-17,-15.5,0.905
"Indiana Hoosiers","Kent State Golden Flashes",2023-03-17,-4.5,0.6413
"Iowa State Cyclones","Pittsburgh Panthers",2023-03-17,-4.5,0.6396
"Kansas St Wildcats","Montana St Bobcats",2023-03-17,-7.5,0.748
"Kentucky Wildcats","Providence Friars",2023-03-17,-4,0.6354
"Marquette Golden Eagles","Vermont Catamounts",2023-03-17,-10.5,0.8284
"Memphis Tigers","Florida Atlantic Owls",2023-03-17,-1.5,0.5444
"Miami Hurricanes","Drake Bulldogs",2023-03-17,-2,0.5456
"Michigan St Spartans","USC Trojans",2023-03-17,-2,0.5628
"Purdue Boilermakers","Fairleigh Dickinson Knights",2023-03-17,-23.5,0.9418
"Saint Mary's Gaels","VCU Rams",2023-03-17,-4.5,0.6202
"TCU Horned Frogs","Arizona St Sun Devils",2023-03-17,-5,0.6611
"UConn Huskies","Iona Gaels",2023-03-17,-9,0.79
"Xavier Musketeers","Kennesaw St Owls",2023-03-17,-12.5,0.8519
"Alabama Crimson Tide","Maryland Terrapins",2023-03-18,-8.5,0.7854
"Houston Cougars","Auburn Tigers",2023-03-18,-5.5,0.6817
"Kansas Jayhawks","Arkansas Razorbacks",2023-03-18,-4,0.6297
"Missouri Tigers","Princeton Tigers",2023-03-18,-6.5,0.7082
"San Diego St Aztecs","Furman Paladins",2023-03-18,-5.5,0.6825
"Tennessee Volunteers","Duke Blue Devils",2023-03-18,3.5,0.3841
"Texas Longhorns","Penn State Nittany Lions",2023-03-18,-5.5,0.6854
"UCLA Bruins","Northwestern Wildcats",2023-03-18,-7.5,0.74
"Baylor Bears","Creighton Bluejays",2023-03-19,-1,0.5162
"Florida Atlantic Owls","Fairleigh Dickinson Knights",2023-03-19,-16,0.8963
"Gonzaga Bulldogs","TCU Horned Frogs",2023-03-19,-4,0.6354
"Indiana Hoosiers","Miami Hurricanes",2023-03-19,-1.5,0.5456
"Kansas St Wildcats","Kentucky Wildcats",2023-03-19,3,0.4112
"Marquette Golden Eagles","Michigan St Spartans",2023-03-19,-3,0.5968
"UConn Huskies","Saint Mary's Gaels",2023-03-19,-4,0.6211
"Xavier Musketeers","Pittsburgh Panthers",2023-03-19,-5,0.6681
"Kansas St Wildcats","Michigan St Spartans",2023-03-23,1.5,0.473
"Tennessee Volunteers","Florida Atlantic Owls",2023-03-23,-5.5,0.6854
"UCLA Bruins","Gonzaga Bulldogs",2023-03-23,-1.5,0.527
"UConn Huskies","Arkansas Razorbacks",2023-03-23,-4,0.6354
"Alabama Crimson Tide","San Diego St Aztecs",2023-03-24,-7,0.7627
"Creighton Bluejays","Princeton Tigers",2023-03-24,-10,0.8105
"Houston Cougars","Miami Hurricanes",2023-03-24,-7.5,0.7543
"Texas Longhorns","Xavier Musketeers",2023-03-24,-4,0.6413
"Gonzaga Bulldogs","UConn Huskies",2023-03-25,2.5,0.4372
"Kansas St Wildcats","Florida Atlantic Owls",2023-03-25,-1.5,0.5456
"San Diego St Aztecs","Creighton Bluejays",2023-03-26,2.5,0.4336
"Texas Longhorns","Miami Hurricanes",2023-03-26,-4,0.6413
"San Diego St Aztecs","Florida Atlantic Owls",2023-04-01,-2.5,0.57
"UConn Huskies","Miami Hurricanes",2023-04-01,-5.5,0.6937
"UConn Huskies","San Diego St Aztecs",2023-04-03,-7,0.7645
