"home_team","away_team","date","home_spread","home_win_prob"
"Arizona Wildcats","Long Beach St 49ers",2024-03-21,-20.5,0.936
"BYU Cougars","Duquesne Dukes",2024-03-21,-9.5,0.8003
"Creighton Bluejays","Akron Zips",2024-03-21,-12,0.8648
"Dayton Flyers","Nevada Wolf Pack",2024-03-21,1,0.4826
"Gonzaga Bulldogs","McNeese Cowboys",2024-03-21,-7,0.7241
"Illinois Fighting Illini","Morehead St Eagles",2024-03-21,-11,0.8515
"Iowa State Cyclones","South Dakota St Jackrabbits",2024-03-21,-15.5,0.9045
"Kansas Jayhawks","Samford Bulldogs",2024-03-21,-7.5,0.7195
"Kentucky Wildcats","Oakland Golden Grizzlies",2024-03-21,-13.5,0.88
"Mississippi St Bulldogs","Michigan St Spartans",2024-03-21,1.5,0.4739
"North Carolina Tar Heels","Wagner Seahawks",2024-03-21,-24.5,0.9467
"South Carolina Gamecocks","Oregon Ducks",2024-03-21,1.5,0.4718
"Tennessee Volunteers","Saint Peter's Peacocks",2024-03-21,-21.5,0.9418
"Texas Longhorns","Colorado St Rams",2024-03-21,-2,0.5526
"Texas Tech Red Raiders","NC State Wolfpack",2024-03-21,-5,0.6446
"Washington St Cougars","Drake Bulldogs",2024-03-21,1,0.4848
"Alabama Crimson Tide","Charleston Cougars",2024-03-22,-9.5,0.785
"Auburn Tigers","Yale Bulldogs",2024-03-22,-13,0.8628
"Baylor Bears","Colgate Raiders",2024-03-22,-15,0.8762
"Clemson Tigers","New Mexico Lobos",2024-03-22,2.5,0.4289
"Duke Blue Devils","Vermont Catamounts",2024-03-22,-12.5,0.8628
"Florida Atlantic Owls","Northwestern Wildcats",2024-03-22,-4,0.6371
"Florida Gators","Colorado Buffaloes",2024-03-22,-1.5,0.5108
"Houston Cougars","Longwood Lancers",2024-03-22,-24,0.9437
"Marquette Golden Eagles","Western Kentucky Hilltoppers",2024-03-22,-14.5,0.8762
"Nebraska Cornhuskers","Texas A&M Aggies",2024-03-22,-1,0.5087
"Purdue Boilermakers","Grambling St Tigers",2024-03-22,-27,0.9495
"Saint Mary's Gaels","Grand Canyon Antelopes",2024-03-22,-5.5,0.6571
"San Diego St Aztecs","UAB Blazers",2024-03-22,-6.5,0.698
"UConn Huskies","Stetson Hatters",2024-03-22,-28,0.9494
"Utah State Aggies","TCU Horned Frogs",2024-03-22,4,0.3813
"Wisconsin Badgers","James Madison Dukes",2024-03-22,-5.5,0.666
"Arizona Wildcats","Dayton Flyers",2024-03-23,-9,0.7827
"Creighton Bluejays","Oregon Ducks",2024-03-23,-5,0.6548
"Illinois Fighting Illini","Duquesne Dukes",2024-03-23,-10,0.8049
"Iowa State Cyclones","Washington St Cougars",2024-03-23,-6,0.7076
"Kansas Jayhawks","Gonzaga Bulldogs",2024-03-23,4,0.3785
"NC State Wolfpack","Oakland Golden Grizzlies",2024-03-23,-6,0.698
"North Carolina Tar Heels","Michigan St Spartans",2024-03-23,-4,0.6229
"Tennessee Volunteers","Texas Longhorns",2024-03-23,-6.5,0.698
"Alabama Crimson Tide","Grand Canyon Antelopes",2024-03-24,-6,0.6792
"Baylor Bears","Clemson Tigers",2024-03-24,-4.5,0.6345
"Duke Blue Devils","James Madison Dukes",2024-03-24,-7,0.7117
"Houston Cougars","Texas A&M Aggies",2024-03-24,-9.5,0.8003
"Marquette Golden Eagles","Colorado Buffaloes",2024-03-24,-4,0.6311
"Purdue Boilermakers","Utah State Aggies",2024-03-24,-11.5,0.8345
"San Diego St Aztecs","Yale Bulldogs",2024-03-24,-5.5,0.6713
"UConn Huskies","Northwestern Wildcats",2024-03-24,-13.5,0.88
"Arizona Wildcats","Clemson Tigers",2024-03-28,-7,0.7348
"Iowa State Cyclones","Illinois Fighting Illini",2024-03-28,-1.5,0.5261
"North Carolina Tar Heels","Alabama Crimson Tide",2024-03-28,-4.5,0.6409
"UConn Huskies","San Diego St Aztecs",2024-03-28,-11.5,0.85
"Houston Cougars","Duke Blue Devils",2024-03-29,-4,0.6345
"Marquette Golden Eagles","NC State Wolfpack",2024-03-29,-7,0.7241
"Purdue Boilermakers","Gonzaga Bulldogs",2024-03-29,-5.5,0.6792
"Tennessee Volunteers","Creighton Bluejays",2024-03-29,-3,0.5882
"Alabama Crimson Tide","Clemson Tigers",2024-03-30,-3.5,0.6071
"UConn Huskies","Illinois Fighting Illini",2024-03-30,-8.5,0.7922
"Duke Blue Devils","NC State Wolfpack",2024-03-31,-7,0.7299
"Purdue Boilermakers","Tennessee Volunteers",2024-03-31,-3,0.6144
"Purdue Boilermakers","NC State Wolfpack",2024-04-06,-9,0.7827
"UConn Huskies","Alabama Crimson Tide",2024-04-06,-11.5,0.8515
"UConn Huskies","Purdue Boilermakers",2024-04-08,-7,0.7313
